example_id,level,stage,source_task,family,site,mutation,recovery_route,broken_validator_ok,expected_outcome,run_id,actual_outcome,as_expected,valid,matched,validator_rejections,calls,note
adapt-l3-01,L3,S1,s1-rob-01,gap_declaration,declarations.calendar_id,上游不带 calendar_id 声明,not_recoverable,False,correct_flag,adapt-l3-01.adapt.cfg-codex-deepseek.r01,correct_flag,True,True,True,,23,缺口标了 unresolved，其余与 oracle 一致
adapt-l3-02,L3,S2,s2-eco-01,gap_declaration,declarations.calendar_id,上游不带 calendar_id 声明,not_recoverable,False,correct_flag,adapt-l3-02.adapt.cfg-codex-deepseek.r01,correct_flag,True,True,True,,18,缺口标了 unresolved，其余与 oracle 一致
adapt-l3-03,L3,S3,s3-ops-01,gap_declaration,declarations.lookback,上游不带 lookback 声明,not_recoverable,False,correct_flag,adapt-l3-03.adapt.cfg-codex-deepseek.r01,correct_flag,True,True,True,,16,缺口标了 unresolved，其余与 oracle 一致
adapt-l3-04,L3,S4,s4-cor-01,gap_declaration,declarations.quantiles,上游不带 quantiles 声明,not_recoverable,False,correct_flag,adapt-l3-04.adapt.cfg-codex-deepseek.r01,failed,False,True,False,,18,过了校验器但与 oracle 不一致：['provenance']
adapt-l3-05,L3,S5,s5-rob-01,gap_declaration,declarations.signal_frequency,上游不带 signal_frequency 声明,not_recoverable,False,correct_flag,adapt-l3-05.adapt.cfg-codex-deepseek.r01,correct_flag,True,True,True,,20,缺口标了 unresolved，其余与 oracle 一致
adapt-l3-06,L3,S6,s6-rob-01,gap_declaration,declarations.objective,上游不带 objective 声明,not_recoverable,False,correct_flag,adapt-l3-06.adapt.cfg-codex-deepseek.r01,correct_flag,True,True,True,,24,缺口标了 unresolved，其余与 oracle 一致
adapt-l3-07,L3,S6,s6-rob-01,gap_provenance_edge,provenance.0,整条上游引用（依赖图的一条边）被删,not_recoverable,True,correct_flag,adapt-l3-07.adapt.cfg-codex-deepseek.r01,failed,False,True,False,,39,过了校验器但与 oracle 不一致：['provenance']
adapt-l3-08,L3,S7,s7-cor-01,gap_declaration,declarations.first_rebalance_day,上游不带 first_rebalance_day 声明,not_recoverable,False,correct_flag,adapt-l3-08.adapt.cfg-codex-deepseek.r01,correct_flag,True,True,True,,17,缺口标了 unresolved，其余与 oracle 一致
adapt-l3-09,L3,S7,s7-ops-01,gap_provenance_edge,provenance.0,整条上游引用（依赖图的一条边）被删,not_recoverable,True,correct_flag,adapt-l3-09.adapt.cfg-codex-deepseek.r01,failed,False,True,False,,27,过了校验器但与 oracle 不一致：['provenance']
adapt-l3-10,L3,S8,s8-cor-01,gap_declaration,declarations.visible_state_fields,上游不带 visible_state_fields 声明,not_recoverable,False,correct_flag,adapt-l3-10.adapt.cfg-codex-deepseek.r01,failed,False,True,False,,19,过了校验器但与 oracle 不一致：['declarations.visible_state_fields']
